"School Name","Official School Name","Address Line1","Address Line2","City","State","Zip Code 5","Zip Code 4","Mailing Address Line1","Mailing Address Line2","Mailing City","Mailing State","Mailing Zip Code 5","Mailing Zip Code 4","LEA Number","School Number","Federal School Number"
"North Carolina Cyber Academy","North Carolina Cyber Academy","2800 Meridian Parkway","Suite 150","Durham","NC","27713","-","-","-","-","-","-","-","00A","00A000","370038603361"
"NC Virtual Academy","NC Virtual Academy","4220 NC Highway 55","Suite 130","Durham","NC","27713","-","-","-","-","-","-","-","00B","00B000","370039803362"
"ABSS Early College at ACC","ABSS Early College at ACC","1247 Jimmie Kerr Road","-","Graham","NC","27253","-","PO Box 8000","-","Graham","NC","27253","-","010","010303","370003002972"
"Alexander Wilson Elementary","Alexander Wilson Elementary","2518 NC 54","-","Graham","NC","27253","-","-","-","-","-","-","-","010","010304","370003000001"
"Altamahaw-Ossipee Elementary","Altamahaw-Ossipee Elementary","2832 N NC 87","-","Elon","NC","27244","-","-","-","-","-","-","-","010","010308","370003000002"
"Broadview Middle","Broadview Middle","2229 Broadview Drive","-","Burlington","NC","27217","4303","-","-","-","-","-","-","010","010310","370003000196"
"Career and Technical Education Center","Career and Technical Education Center","2550 Buckingham Road","-","Burlington","NC","27217","-","-","-","-","-","-","-","010","010311","370003003171"
"Highland Elementary","Highland Elementary","3720 Bonnar Bridge Parkway","-","Burlington","NC","27215","-","-","-","-","-","-","-","010","010312","370003002838"
"E M Yoder Elementary","E M Yoder Elementary","301 N Charles Street","-","Mebane","NC","27302","2328","-","-","-","-","-","-","010","010320","370003000005"
"Eastern Alamance High","Eastern Alamance High","4040 Mebane Rogers","-","Mebane","NC","27302","9729","-","-","-","-","-","-","010","010324","370003000006"
"Eastlawn Elementary","Eastlawn Elementary","502 N Graham Hopedale Road","-","Burlington","NC","27217","2945","-","-","-","-","-","-","010","010326","370003000197"
"Edwin M Holt Elementary","Edwin M Holt Elementary","4751 S NC 62","-","Burlington","NC","27215","-","-","-","-","-","-","-","010","010328","370003000007"
"Elon Elementary","Elon Elementary","720 Walker Road","-","Elon","NC","27244","9304","-","-","-","-","-","-","010","010340","370003000008"
"B. Everett Jordan Elementary","B. Everett Jordan Elementary","5827 Church Road","-","Graham","NC","27253","9145","-","-","-","-","-","-","010","010346","370003000003"
"Audrey W. Garrett Elementary","Audrey W.Garrett Elementary","3224 Old Hillsborough Road","-","Mebane","NC","27302","-","-","-","-","-","-","-","010","010347","370003002501"
"Graham High","Graham High","903 Trollinger Road","-","Graham","NC","27253","1945","-","-","-","-","-","-","010","010348","370003000009"
"Graham Middle","Graham Middle","311 E Pine Street","-","Graham","NC","27253","3226","-","-","-","-","-","-","010","010350","370003000010"
"Grove Park Elementary","Grove Park Elementary","141 Trail One","-","Burlington","NC","27215","5531","-","-","-","-","-","-","010","010351","370003000199"
"Hawfields Middle","Hawfields Middle","1951 S NC 119","-","Mebane","NC","27302","-","-","-","-","-","-","-","010","010353","370003002566"
"Harvey R Newlin Elementary","Harvey R Newlin Elementary","316 Carden Street","-","Burlington","NC","27215","7305","-","-","-","-","-","-","010","010354","370003000200"
"Haw River Elementary","Haw River Elementary","701 E Main Street","-","Haw River","NC","27258","9644","-","-","-","-","-","-","010","010357","370003000011"
"Hillcrest Elementary","Hillcrest Elementary","1714 W Davis Street","-","Burlington","NC","27215","3841","-","-","-","-","-","-","010","010358","370003000201"
"Hugh M Cummings High","Hugh M Cummings High","2200 N Mebane Street","-","Burlington","NC","27217","4332","-","-","-","-","-","-","010","010360","370003000202"
"Marvin B Smith Elementary","Marvin B Smith Elementary","2235 Delaney Drive","-","Burlington","NC","27215","5120","-","-","-","-","-","-","010","010362","370003000203"
"North Graham Elementary","North Graham Elementary","1025 Trollinger Road","-","Graham","NC","27253","1947","-","-","-","-","-","-","010","010364","370003000012"
"Pleasant Grove Elementary","Pleasant Grove Elementary","2847 Pleasant Grv Sch Road","-","Burlington","NC","27217","7750","-","-","-","-","-","-","010","010372","370003000013"
"R Homer Andrews Elementary","R Homer Andrews Elementary","2630 Buckingham Road","-","Burlington","NC","27217","3252","-","-","-","-","-","-","010","010374","370003000204"
"Ray Street Academy","Ray Street Academy","609 Ray Street","-","Graham","NC","27253","-","-","-","-","-","-","-","010","010378","370003002153"
"South Graham Elementary","South Graham Elementary","320 Ivey Road","-","Graham","NC","27253","3723","-","-","-","-","-","-","010","010380","370003000014"
"South Mebane Elementary","South Mebane Elementary","600 S 3rd Street","-","Mebane","NC","27302","3120","-","-","-","-","-","-","010","010384","370003000015"
"Southern Alamance High","Southern Alamance High","631 Southern High Road","-","Graham","NC","27253","9425","-","-","-","-","-","-","010","010388","370003000016"
"Southern Alamance Middle","Southern Alamance Middle","771 Southern High Road","-","Graham","NC","27253","9426","-","-","-","-","-","-","010","010390","370003000017"
"Sylvan Elementary","Sylvan Elementary","7718 Sylvan Road","-","Snow Camp","NC","27349","9504","-","-","-","-","-","-","010","010392","370003000018"
"Turrentine Middle","Turrentine Middle","1710 Edgewood Avenue","-","Burlington","NC","27215","4938","-","-","-","-","-","-","010","010394","370003000206"
"Walter M Williams High","Walter M Williams High","1307 S Church Street","-","Burlington","NC","27215","4919","-","-","-","-","-","-","010","010396","370003000207"
"Western Alamance High","Western Alamance High","1731 N NC 87","-","Elon","NC","27244","-","-","-","-","-","-","-","010","010400","370003000019"
"Western Alamance Middle","Western Alamance Middle","2100 Eldon Drive","-","Elon","NC","27244","9747","-","-","-","-","-","-","010","010403","370003000020"
"Woodlawn Middle","Woodlawn Middle","3970 Mebane Rogers Road","-","Mebane","NC","27302","-","-","-","-","-","-","-","010","010406","370003000021"
"Southeast Alamance High","Southeast Alamance High School","3400 S Hwy 119","-","Haw River","NC","27258","-","-","-","-","-","-","-","010","010410","370003003641"
"Alamance Virtual School","Alamance Virtual School","609 Ray Street","-","Graham","NC","27253","-","-","-","-","-","-","-","010","010450","370003003574"
"River Mill Academy","River Mill Academy","235 Cheeks Lane","-","Graham","NC","27253","-","-","-","-","-","-","-","01B","01B000","370005002366"
"Clover Garden","Clover Garden","2454 Altamahaw Union Ridge Road","-","Burlington","NC","27217","-","-","-","-","-","-","-","01C","01C000","370011602565"
"The Hawbridge School","The Hawbridge School","1735 Saxapahaw Bethlehem Church Rd","-","Saxapahaw","NC","27340","-","PO Box 40","-","Saxapahaw","NC","27340","-","01D","01D000","370013202703"
"Alamance Community School","Alamance Community School","195 Kronbergs Court","-","Haw River","NC","27258","-","-","-","-","-","-","-","01F","01F000","370046703528"
"Alexander Central High","Alexander Central High","223 School Drive","-","Taylorsville","NC","28681","2399","-","-","-","-","-","-","020","020302","370009000028"
"Alexander Early College","Alexander Early College","345 Industrial Blvd","-","Taylorsville","NC","28681","-","700 Liledoun Road","-","Taylorsville","NC","28681","-","020","020303","370009003396"
"Bethlehem Elementary","Bethlehem Elementary","7900 NC Hwy 127","-","Taylorsville","NC","28681","9756","-","-","-","-","-","-","020","020304","370009000029"
"East Alexander Middle","East Alexander Middle","1285 White Plains Road","-","Hiddenite","NC","28636","9802","-","-","-","-","-","-","020","020306","370009002148"
"Ellendale Elementary","Ellendale Elementary","175 Ellendale Park Lane","-","Taylorsville","NC","28681","9570","-","-","-","-","-","-","020","020308","370009000032"
"Hiddenite Elementary","Hiddenite Elementary","374 Sulphur Springs Road","-","Hiddenite","NC","28636","9764","-","-","-","-","-","-","020","020316","370009000031"
"Stony Point Elementary","Stony Point Elementary","311 Stony Point School Road","-","Stony Point","NC","28678","-","-","-","-","-","-","-","020","020320","370009000033"
"Sugar Loaf Elementary","Sugar Loaf Elementary","3600 NC Hwy 16N","-","Taylorsville","NC","28681","9126","-","-","-","-","-","-","020","020324","370009000034"
"Taylorsville Elementary","Taylorsville Elementary","100 7th Street SW","-","Taylorsville","NC","28681","2409","-","-","-","-","-","-","020","020328","370009000030"
"West Alexander Middle","West Alexander Middle","85 Bulldog Lane","-","Taylorsville","NC","28681","9538","-","-","-","-","-","-","020","020330","370009000035"
"Wittenburg Elementary","Wittenburg Elementary","7300 Church Road","-","Taylorsville","NC","28681","8818","-","-","-","-","-","-","020","020332","370009000036"
"Alleghany High","Alleghany High","404 Trojan Avenue","-","Sparta","NC","28675","-","-","-","-","-","-","-","030","030304","370012000037"
"Glade Creek Elementary","Glade Creek Elementary","32 Glade Creek Sch Road","-","Ennice","NC","28623","-","-","-","-","-","-","-","030","030308","370012000038"
"Piney Creek Elementary","Piney Creek Elementary","559 Piney Creek Sch Road","-","Piney Creek","NC","28663","-","-","-","-","-","-","-","030","030316","370012000039"
"Sparta Elementary","Sparta Elementary","450 N Main Street","-","Sparta","NC","28675","-","-","-","-","-","-","-","030","030320","370012000040"
"Anson Co. Early College High","Anson County Early College High School","177 Ledbetter Street","-","Polkton","NC","28135","-","-","-","-","-","-","-","040","040304","370018002748"
"Anson High School","Anson High School","96 Anson High School Road","-","Wadesboro","NC","28170","-","-","-","-","-","-","-","040","040306","370018002054"
"Ansonville Elementary","Ansonville Elementary School","9104 Hwy 52 N","-","Ansonville","NC","28007","-","9104 Hwy 52 N","-","Wadesboro","NC","28170","-","040","040308","370018000042"
"Anson Middle","Anson Middle School","832 US Hwy 52 N","-","Wadesboro","NC","28170","-","-","-","-","-","-","-","040","040309","370018002056"
"Wadesboro Primary","Wadesboro Primary School","1542 Hwy 52 S","-","Wadesboro","NC","28170","-","-","-","-","-","-","-","040","040311","370018000044"
"Lilesville Elementary","Lilesville Elementary School","121 Camden Street","-","Lilesville","NC","28091","-","-","-","-","-","-","-","040","040316","370018000049"
"Morven Elementary","Morven Elementary School","6715 Hwy 52 S","-","Morven","NC","28119","-","-","-","-","-","-","-","040","040324","370018000046"
"Peachland-Polkton Elem","Peachland-Polkton Elementary School","9633 Hwy 74 W","-","Peachland","NC","28133","-","-","-","-","-","-","-","040","040328","370018000953"
"Wadesboro Elementary","Wadesboro Elementary School","321 Camden Road","-","Wadesboro","NC","28170","-","-","-","-","-","-","-","040","040330","370018000050"
"Ashe County High","Ashe County High","184 Campus Drive","-","West Jefferson","NC","28694","-","PO Box 450","-","West Jefferson","NC","28694","0450","050","050302","370021002425"
"Ashe County Early College High","Ashe County Early College High School","363 Campus Dr","-","West Jefferson","NC","28694","-","PO Box 449","-","West Jefferson","NC","28694","-","050","050303","370021003474"
"Ashe County Middle","Ashe County Middle","255 Northwest Lane","-","Warrensville","NC","28693","-","PO Box 259","-","Warrensville","NC","28693","0259","050","050305","370021002426"
"Blue Ridge Elementary","Blue Ridge Elementary","5778 NC Hwy 88 W","-","Warrensville","NC","28693","-","PO Box 229","-","Warrensville","NC","28693","0229","050","050310","370021000971"
"Mountain View Elementary","Mountain View Elementary","2789 Hwy 221 N","-","Jefferson","NC","28640","-","-","-","-","-","-","-","050","050330","370021002284"
"Westwood Elementary","Westwood Elementary","4083 US Hwy 221S","-","West Jefferson","NC","28694","-","-","-","-","-","-","-","050","050335","370021002704"
"Avery County High","Avery County High School","401 Avery County High School Road","-","Newland","NC","28657","-","401 Avery County High School Road","-","Newland","NC","28657","1300","060","060302","370030000081"
"Banner Elk Elementary","Banner Elk Elementary School","155 Orchard Lane","-","Banner Elk","NC","28604","-","155 Orchard Lane","-","Banner Elk","NC","28604","0218","060","060304","370030000082"
"Cranberry Middle","Cranberry Middle School","6230 North US Highway 19E","-","Elk Park","NC","28622","-","6230 North Highway 19E","-","Elk Park","NC","28622","-","060","060310","370030001723"
"Crossnore Elementary","Crossnore Elementary","1000 Walt Clark Road","-","Crossnore","NC","28616","-","PO Box 566","-","Crossnore","NC","28616","0056","060","060316","370030000084"
"Avery Middle","Avery Middle","102 Old Montezuma Road","-","Newland","NC","28657","-","102 Old Montezuma Road","-","Newland","NC","28657","0729","060","060318","370030000085"
"Freedom Trail Elementary","Freedom Trail Elementary School","6110 North US Hwy 19E","-","Elk Park","NC","28622","-","6110 North US Hwy 19E","-","Elk Park","NC","28622","-","060","060322","370030001760"
"Newland Elementary","Newland Elementary School","750 Linville Street","-","Newland","NC","28657","-","750 Linville Street","-","Newland","NC","28657","0158","060","060328","370030000088"
"Riverside Elementary","Riverside Elementary School","8020 US 19E Hwy South","-","Newland","NC","28657","9452","8020 US 19E Hwy South","-","Newland","NC","28657","-","060","060332","370030000089"
"Marjorie Williams Academy","Marjorie Williams Academy","129 Allen Circle","-","Newland","NC","28657","-","PO Box 309","-","Crossnore","NC","28616","-","06B","06B000","370007702427"
"Eastern Elementary","Eastern Elementary","947 Hudnell Street","-","Washington","NC","27889","3861","-","-","-","-","-","-","070","070302","370033001922"
"Bath Elementary","Bath Elementary","110 S King Street","-","Bath","NC","27808","-","-","-","-","-","-","-","070","070308","370033000091"
"Beaufort Co Early College High","Beaufort County Early College High School","5337 Hwy 264 East","Building 10","Washington","NC","27889","-","5337 Hwy 264 East","Building 10","Washington","NC","27889","-","070","070311","370033003011"
"Chocowinity Middle","Chocowinity Middle","3831 US HWY 17 S","-","Chocowinity","NC","27817","-","-","-","-","-","-","-","070","070325","370033002503"
"Chocowinity Primary","Chocowinity Primary","606 Gray Road","-","Chocowinity","NC","27817","-","-","-","-","-","-","-","070","070326","370033002106"
"John C Tayloe Elementary","John C Tayloe Elementary","910 Tarboro Street","-","Washington","NC","27889","4126","-","-","-","-","-","-","070","070327","370033001923"
"John Small Elementary","John Small Elementary","4103 North Market Street Ext","-","Washington","NC","27889","-","-","-","-","-","-","-","070","070328","370033001924"
"Northeast Elementary","Northeast Elementary","21000 US Hwy 264 East","-","Pinetown","NC","27865","-","-","-","-","-","-","-","070","070329","370033002568"
"Northside High","Northside High","7868 Free Union Church Road","-","Pinetown","NC","27865","-","-","-","-","-","-","-","070","070330","370033002224"
"P S Jones Middle","P S Jones Middle","4105 N Market Street Ext","-","Washington","NC","27889","4526","-","-","-","-","-","-","070","070338","370033001925"
"Southside High","Southside High","5700 Hwy 33 East","-","Chocowinity","NC","27817","-","-","-","-","-","-","-","070","070339","370033002504"
"S W Snowden Elementary","S W Snowden Elementary","693 North 7th Street","-","Aurora","NC","27806","9243","-","-","-","-","-","-","070","070340","370033000098"
"Washington High","Washington High","400 Slatestone Road","-","Washington","NC","27889","9467","-","-","-","-","-","-","070","070342","370033001926"
"Washington Montessori","Washington Montessori Public Charter School","2330 Old Bath Hwy","-","Washington","NC","27889","-","-","-","-","-","-","-","07A","07A000","370010102502"
"Bertie Early College High","Bertie Early College High","717 US Hwy 13 North","-","Windsor","NC","27983","-","-","-","-","-","-","-","080","080311","370036003149"
"Bertie High","Bertie High","716 US Hwy 13 North","-","Windsor","NC","27983","9803","-","-","-","-","-","-","080","080312","370036000101"
"Bertie Middle","Bertie Middle","652 US Hwy 13 North","-","Windsor","NC","27983","-","-","-","-","-","-","-","080","080314","370036002818"
"West Bertie Elementary","West Bertie Elementary","3734 Governors Road","-","Kelford","NC","27847","-","-","-","-","-","-","-","080","080356","370036000106"
"Colerain Elementary","Colerain Elementary","202 N Academy Street","-","Colerain","NC","27924","-","-","-","-","-","-","-","080","080360","370036000107"
"Windsor Elementary","Windsor Elementary","104 Cooper Hill Road","-","Windsor","NC","27983","8504","-","-","-","-","-","-","080","080362","370036002285"
"Bladenboro Middle","Bladenboro Middle","910 South Main Street","-","Bladenboro","NC","28320","-","-","-","-","-","-","-","090","090315","370039002617"
"Bladenboro Primary","Bladenboro Primary","312 Old Whiteville Road","-","Bladenboro","NC","28320","-","PO Box 820","-","Bladenboro","NC","28320","0820","090","090317","370039002150"
"Bladen Lakes Primary","Bladen Lakes Primary","9554 Johnsontown Road","-","Elizabethtown","NC","28337","9651","-","-","-","-","-","-","090","090318","370039000111"
"Clarkton School of Discovery","Clarkton School of Discovery","10000 North College Street","-","Clarkton","NC","28433","-","PO Box 127","-","Clarkton","NC","28433","0127","090","090320","370039000113"
"Dublin Primary","Dublin Primary","7048 Albert Street","-","Dublin","NC","28332","-","PO Box 307","-","Dublin","NC","28332","0307","090","090324","370039000114"
"East Arcadia Elementary","East Arcadia Elementary","21451 NC Hwy 87 East","-","Riegelwood","NC","28456","9209","-","-","-","-","-","-","090","090328","370039000115"
"East Bladen High","East Bladen High","5600 NC Hwy 87 East","-","Elizabethtown","NC","28337","-","PO Box 578","-","Elizabethtown","NC","28377","-","090","090330","370039000116"
"Elizabethtown Middle","Elizabethtown Middle","1496 Hwy 701 South","-","Elizabethtown","NC","28337","-","PO Box 639","-","Elizabethtown","NC","28337","0639","090","090332","370039002618"
"Elizabethtown Primary","Elizabethtown Primary","301 Mercer Road","-","Elizabethtown","NC","28337","-","PO Box 2649","-","Elizabethtown","NC","28337","2649","090","090333","370039000118"
"Tar Heel School","Tar Heel School","14888 Hwy 87 West","-","Tar Heel","NC","28392","-","PO Box 128","-","Tar Heel","NC","28392","0128","090","090365","370039002619"
"West Bladen High","West Bladen High","1600 NC Hwy 410","-","Bladenboro","NC","28320","-","-","-","-","-","-","-","090","090368","370039002620"
"Bladen Early College","Bladen Early College","7418 NC Highway 41 West","Parker Building","Dublin","NC","28332","-","-","-","-","-","-","-","090","090376","370039003477"
"Paul R. Brown Leadership Academy","Paul R. Brown Leadership Academy","1360 Martin L King Jr Dr","-","Elizabethtown","NC","28337","-","PO Box 1433","-","Elizabethtown","NC","28337","-","09A","09A000","370035103285"
"Emereau: Bladen","Emereau: Bladen","995 Airport Rd","-","Elizabethtown","NC","28337","-","PO Box 547","-","Elizabethtown","NC","28337","-","09B","09B000","370041303430"
"Belville Elementary","Belville Elementary","575 River Road","-","Leland","NC","28451","-","-","-","-","-","-","-","100","100302","370042001771"
"Bolivia Elementary","Bolivia Elementary","4036 Business Hwy 17-E","-","Bolivia","NC","28422","-","-","-","-","-","-","-","100","100304","370042000122"
"Brunswick County Early College","Brunswick County Early College High School","50 College Road NE","-","Bolivia","NC","28422","-","PO Box 30","-","Supply","NC","28462","-","100","100307","370042002898"
"The COAST","The Center of Applied Sciences and Technology","1109 Old Ocean Highway","-","Bolivia","NC","28422","-","-","-","-","-","-","-","100","100308","370042000980"
"Cedar Grove Middle","Cedar Grove Middle","750 Grove Trail SW","-","Supply","NC","28462","-","-","-","-","-","-","-","100","100309","370042003135"
"Jessie Mae Monroe Elementary","Jessie Mae Monroe Elementary","250 Pea Landing Road NW","-","Ash","NC","28420","-","-","-","-","-","-","-","100","100310","370042002621"
"Leland Middle","Leland Middle","927 Old Fayetteville Road NE","-","Leland","NC","28451","-","-","-","-","-","-","-","100","100316","370042000123"
"Lincoln Elementary","Lincoln Elementary","1664 Lincoln Road","-","Leland","NC","28451","-","-","-","-","-","-","-","100","100320","370042000124"
"North Brunswick High","North Brunswick High","114 Scorpion Drive","-","Leland","NC","28451","-","-","-","-","-","-","-","100","100326","370042000125"
"Shallotte Middle","Shallotte Middle","225 Village Road","-","Shallotte","NC","28459","-","-","-","-","-","-","-","100","100332","370042000126"
"South Brunswick High","South Brunswick High","280 Cougar Drive BSL","-","Southport","NC","28461","-","-","-","-","-","-","-","100","100334","370042000127"
"South Brunswick Middle","South Brunswick Middle","100 Cougar Drive BSL","-","Southport","NC","28461","-","-","-","-","-","-","-","100","100335","370042002152"
"Southport Elementary","Southport Elementary","701 West 9th Street","-","Southport","NC","28461","-","-","-","-","-","-","-","100","100336","370042000129"
"Supply Elementary","Supply Elementary","51 Benton Road SE","-","Supply","NC","28462","-","-","-","-","-","-","-","100","100338","370042000053"
"Town Creek Elementary","Town Creek Elementary","6330 Lake Park Dr SE","-","Winnabow","NC","28479","-","-","-","-","-","-","-","100","100339","370042003134"
"Union Elementary","Union Elementary","180 Union School Road NW","-","Shallotte","NC","28470","-","-","-","-","-","-","-","100","100340","370042000130"
"Town Creek Middle","Town Creek Middle School","6370 Lake Park Drive SE","-","Winnabow","NC","28479","-","-","-","-","-","-","-","100","100341","370042003514"
"Virginia Williamson Elem","Virginia Williamson Elem","1020 Zion Hill Road","-","Bolivia","NC","28422","-","-","-","-","-","-","-","100","100342","370042002428"
"Waccamaw","Waccamaw","5901 Waccamaw School Road NW","-","Ash","NC","28420","-","-","-","-","-","-","-","100","100344","370042000131"
"West Brunswick High","West Brunswick High","550 Whiteville Road NW","-","Shallotte","NC","28470","-","-","-","-","-","-","-","100","100348","370042000132"
"Classical Charter Schools of Leland ","Classical Charter Schools of Leland","7055 Bacon's Way","-","Leland","NC","28451","-","-","-","-","-","-","-","10A","10A000","370010202506"
"Classical Charter Schools of Southport","Classical Charter Schools of Southport","2260 Achievement Ave SE","-","Bolivia","NC","28422","8368","-","-","-","-","-","-","10B","10B000","370037803334"
"Community High School","Community High School","235 Old US 70","-","Swannanoa","NC","28778","-","-","-","-","-","-","-","110","110303","370045002203"
"Reynolds High","A C Reynolds High","One Rocket Drive","-","Asheville","NC","28803","9100","-","-","-","-","-","-","110","110304","370045000133"
"Reynolds Middle","A C Reynolds Middle","2 Rocket Drive","-","Asheville","NC","28803","9100","-","-","-","-","-","-","110","110306","370045000134"
"Barnardsville Elementary","Barnardsville Elementary","20 Hillcrest Drive","-","Barnardsville","NC","28709","-","-","-","-","-","-","-","110","110308","370045001003"
"Black Mountain Elementary","Black Mountain Elementary","100 Flat Creek Road","-","Black Mountain","NC","28711","-","-","-","-","-","-","-","110","110318","370045001361"
"Black Mountain Primary","Black Mountain Primary","301 East State Street","-","Black Mountain","NC","28711","-","-","-","-","-","-","-","110","110320","370045000138"
"Early College","Buncombe County Early College High School","340 Victoria Road","-","Asheville","NC","28801","-","-","-","-","-","-","-","110","110322","370045002661"
"Center for Career Innovation","Buncombe County Center for Career Innovation","340 Victoria Road","-","Asheville","NC","28801","-","-","-","-","-","-","-","110","110323","370045002974"
"Candler Elementary","Candler Elementary","121 Candler School Road","-","Candler","NC","28715","9313","-","-","-","-","-","-","110","110324","370045000140"
"Cane Creek Middle","Cane Creek Middle","570 Lower Brush Creek Road","-","Fletcher","NC","28732","-","-","-","-","-","-","-","110","110326","370045002507"
"Bell Elementary","Charles C Bell Elementary","90 Maple Springs Road","-","Asheville","NC","28805","-","-","-","-","-","-","-","110","110332","370045000139"
"Owen High","Charles D Owen High","99 Lake Eden Road","-","Black Mountain","NC","28711","8706","-","-","-","-","-","-","110","110336","370045000142"
"Owen Middle","Charles D Owen Middle","730 Old US 70","-","Swannanoa","NC","28778","-","-","-","-","-","-","-","110","110338","370045002286"
"Erwin High","Clyde A Erwin High","60 Lees Creek Road","-","Asheville","NC","28806","2110","-","-","-","-","-","-","110","110340","370045000143"
"Erwin Middle","Clyde A Erwin Middle","20 Erwin Middle School Road","-","Asheville","NC","28806","2105","-","-","-","-","-","-","110","110342","370045000144"
"Emma Elementary","Emma Elementary","37 Brickyard Road","-","Asheville","NC","28806","3739","-","-","-","-","-","-","110","110348","370045000146"
"Enka High","Enka High","475 Enka Lake Road","-","Candler","NC","28715","-","-","-","-","-","-","-","110","110352","370045000147"
"Fairview Elementary","Fairview Elementary","1355 Charlotte Hwy","-","Fairview","NC","28730","8798","-","-","-","-","-","-","110","110356","370045000148"
"Glen Arden Elementary","Glen Arden Elementary","50 Pinehurst Circle","-","Arden","NC","28704","-","-","-","-","-","-","-","110","110366","370045000151"
"Haw Creek Elementary","Haw Creek Elementary","10 Bethesda Road","-","Asheville","NC","28805","1936","-","-","-","-","-","-","110","110368","370045000152"
"Hominy Valley Elementary","Hominy Valley Elementary","450 Enka Lake Road","-","Candler","NC","28715","-","-","-","-","-","-","-","110","110370","370045002508"
"Johnston Elementary","Johnston Elementary","230 Johnston Boulevard","-","Asheville","NC","28806","1823","-","-","-","-","-","-","110","110372","370045000153"
"Leicester Elementary","Leicester Elementary","31 Gilbert Road","-","Leicester","NC","28748","9601","-","-","-","-","-","-","110","110376","370045000154"
"North Buncombe Elementary","North Buncombe Elementary","251 Flat Creek Church Rd","-","Weaverville","NC","28787","9528","-","-","-","-","-","-","110","110379","370045002259"
"North Buncombe High","North Buncombe High","890 Clarks Chapel Road","-","Weaverville","NC","28787","9343","-","-","-","-","-","-","110","110380","370045000156"
"North Buncombe Middle","North Buncombe Middle","51 N Buncombe School Road","-","Weaverville","NC","28787","9608","-","-","-","-","-","-","110","110381","370045002192"
"North Windy Ridge Intermediate","North Windy Ridge Intermediate School","20 Doan Road","-","Weaverville","NC","28787","-","-","-","-","-","-","-","110","110382","370045002622"
"Oakley Elementary","Oakley Elementary","753 Fairview Road","-","Asheville","NC","28803","1141","-","-","-","-","-","-","110","110384","370045000157"
"Pisgah Elementary","Pisgah Elementary","1495 Pisgah Hwy","-","Candler","NC","28715","9114","-","-","-","-","-","-","110","110388","370045000159"
"Enka Middle","Enka Middle","390 Asbury Road","-","Candler","NC","28715","9686","-","-","-","-","-","-","110","110401","370045000161"
"Sand Hill-Venable Elem","Sand Hill-Venable Elementary","154 Sand Hill School Road","-","Asheville","NC","28806","1023","-","-","-","-","-","-","110","110408","370045000626"
"Avery's Creek Elementary","Avery's Creek Elementary","15 Park South Boulevard","-","Arden","NC","28704","-","-","-","-","-","-","-","110","110410","370045001781"
"Williams Elementary","W D Williams Elementary","161 Bee Tree Road","-","Swannanoa","NC","28778","2339","-","-","-","-","-","-","110","110412","370045000163"
"Roberson High","T C Roberson High","250 Overlook Road","-","Asheville","NC","28803","3317","-","-","-","-","-","-","110","110416","370045000164"
"Valley Springs Middle","Valley Springs Middle","224 Long Shoals Road","-","Arden","NC","28704","9703","-","-","-","-","-","-","110","110420","370045000165"
"Estes Elementary","William W Estes Elementary","275 Overlook Road","-","Asheville","NC","28803","3316","-","-","-","-","-","-","110","110422","370045002063"
"Enka Intermediate","Enka Intermediate School","125 Asheville Commerce Parkway","-","Candler","NC","28715","-","-","-","-","-","-","-","110","110425","370045003383"
"Weaverville Elementary","Weaverville Elementary","129 S Main Street","-","Weaverville","NC","28787","0674","-","-","-","-","-","-","110","110428","370045000167"
"Weaverville Primary","Weaverville Primary","39 S Main Street","-","Weaverville","NC","28787","8463","-","-","-","-","-","-","110","110432","370045000168"
"West Buncombe Elementary","West Buncombe Elementary","175 Erwin Hills Road","-","Asheville","NC","28806","2186","-","-","-","-","-","-","110","110436","370045000169"
"Woodfin Elementary","Woodfin Elementary","108 Elk Mountain Road","-","Asheville","NC","28804","2012","-","-","-","-","-","-","110","110444","370045000170"
"Koontz Intermediate","Charles T. Koontz Intermediate School","305 Overlook Road","-","Asheville","NC","28803","-","-","-","-","-","-","-","110","110450","370045003190"
"Eblen Intermediate","Joe P. Eblen Intermediate School","59 Lee's Creek Road","-","Asheville","NC","28806","-","-","-","-","-","-","-","110","110451","370045003191"
"Buncombe County Schools Virtual Academy","Buncombe County Schools Virtual Academy","21 Trinity Chapel Rd","Building #10","Asheville","NC","28805","1936","-","-","-","-","-","-","110","110475","370045003578"
"Nesbitt Discovery Academy","Martin L Nesbitt Jr Discovery Academy","175 Bingham Rd Ste 10","-","Asheville","NC","28806","-","-","-","-","-","-","-","110","110500","370045003320"
"Asheville High","Asheville High","419 McDowell Street","-","Asheville","NC","28803","2610","-","-","-","-","-","-","111","111302","370027000070"
"Hall Fletcher Elementary","Hall Fletcher Elementary","60 Ridgelawn Road","-","Asheville","NC","28806","4454","-","-","-","-","-","-","111","111304","370027000071"
"Isaac Dickson Elementary","Isaac Dickson Elementary","125 Hill Street","-","Asheville","NC","28801","2545","-","-","-","-","-","-","111","111306","370027002202"
"Claxton Elementary","Claxton Elementary","241 Merrimon Avenue","-","Asheville","NC","28801","1217","-","-","-","-","-","-","111","111312","370027000072"
"Ira B Jones Elementary","Ira B Jones Elementary","544 Kimberly Avenue","-","Asheville","NC","28804","2560","-","-","-","-","-","-","111","111332","370027000076"
"Asheville Middle","Asheville Middle","211 S French Broad Avenue","-","Asheville","NC","28801","3954","-","-","-","-","-","-","111","111356","370027000079"
